"StartDate","EndDate","Status","IPAddress","Progress","Duration (in seconds)","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","DistributionChannel","UserLanguage","intro","joaff3","joaff4","joagg3","joagg4","joinc3","joinc4","jonon3","jorew2","jorew3","joself3","josex2","josex3","imgaff5","imgagg5","imginc5","imgnon4","imgnon5","imgrew4","imgrew5","imgself4","imgself5","imgsex4","imgsex5","vidaff1","vidaff2","vidagg1","vidagg2","vidinc1","vidinc2","vidnon2","vidrew1","vidrew2","vidsex1","vidself2","vidnon1","attention_check","cheerfulness_4","measure_25","measure_26","measure_27","measure_28","measure_29","measure_30","measure_31","measure_32","measure_33","measure_34","measure_35","measure_36","measure_37","measure_38","measure_39","measure_40","measure_41","gender","age","techissues","vidaudCHECK","comment"
"2021-02-20 18:11:07","2021-02-20 18:23:23","0","IP-0.0858717472177101","100","735","1","2021-02-20 18:23:23","ID-0.158558148723461","","","","","anonymous","EN","4","1","7","4","1","1","2","7","1","2","4","1","1","7","1","1","1","3","1","6","7","6","6","1","3","2","1","6","1","1","4","1","6","5","5","1","2","1","3","3","4","1","1","1","1","1","1","1","2","2","2","3","2","2","1","4","36","1","1","quite interesting"
"2021-02-20 18:15:40","2021-02-20 18:27:32","0","IP0.697876400596057","100","712","1","2021-02-20 18:27:32","ID1.24952740203213","","","","","anonymous","EN","4","6","5","6","4","4","5","3","5","5","5","6","4","3","6","4","3","4","5","5","5","4","6","6","5","5","7","4","5","6","7","6","5","6","5","4","2","2","3","3","4","2","2","3","2","4","2","2","3","3","3","2","2","3","2","5","22","1","1",""
"2021-02-20 18:20:05","2021-02-20 18:31:17","0","IP1.05725204292369","100","671","1","2021-02-20 18:31:17","ID1.65234302034726","","","","","anonymous","EN","4","5","5","1","1","2","1","2","3","5","5","1","5","1","4","5","1","1","1","4","7","1","4","1","6","3","1","2","2","2","1","1","3","3","1","1","2","3","2","1","1","3","3","2","3","1","3","1","4","1","3","2","3","1","3","5","25","1","1",""
"2021-02-20 18:21:11","2021-02-20 18:32:47","0","IP-0.779431925609414","100","695","1","2021-02-20 18:32:47","ID-0.981521168053314","","","","","anonymous","EN","4","5","6","5","2","4","3","4","4","4","5","2","4","5","5","6","5","1","5","1","5","3","7","5","5","5","4","4","2","3","2","5","4","4","4","1","2","2","3","3","4","3","2","4","2","2","1","3","4","3","4","4","1","3","3","4","18","1","1",""
"2021-02-20 18:23:20","2021-02-20 18:34:00","0","IP0.459874441820404","100","640","1","2021-02-20 18:34:01","ID-1.33649040898001","","","","","anonymous","EN","4","1","2","1","1","1","1","1","1","1","1","1","1","2","1","2","2","1","1","1","1","1","1","1","2","2","2","1","2","2","2","2","1","1","2","1","2","3","3","3","3","2","3","3","2","3","3","2","3","2","3","3","2","2","2","4","23","1","1",""
"2021-02-20 18:14:18","2021-02-20 18:37:27","0","IP0.395810159525135","100","1388","1","2021-02-20 18:37:27","ID0.399755732735534","","","","","anonymous","EN","4","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","1","1","2","2","1","1","1","4","1","5","1","1","2","2","2","2","1","4","2","2","3","2","2","3","3","3","3","3","2","3","1","3","3","2","2","3","2","2","5","31","1","1",""
"2021-02-20 18:20:31","2021-02-20 18:40:13","0","IP1.7248114982516","100","1182","1","2021-02-20 18:40:14","ID-1.22756818108902","","","","","anonymous","EN","4","1","1","3","2","1","5","1","1","1","1","2","1","1","1","1","1","1","1","1","6","1","2","4","1","1","5","1","1","1","1","1","1","1","1","1","2","1","2","3","2","1","1","3","2","2","1","2","3","2","1","3","1","3","1","5","35","1","1",""
"2021-02-20 18:38:11","2021-02-20 18:49:31","0","IP1.12114986902172","100","680","1","2021-02-20 18:49:31","ID0.252137927891361","","","","","anonymous","EN","4","4","1","4","5","2","2","3","4","2","4","5","1","3","6","4","2","5","6","5","6","5","5","4","6","4","6","3","4","1","6","4","2","5","4","1","2","1","2","3","1","1","1","4","1","3","1","2","2","3","1","3","2","3","1","5","38","1","1","n/a"
"2021-02-20 18:41:14","2021-02-20 18:50:05","0","IP-0.888591124725731","100","531","1","2021-02-20 18:50:06","ID0.0964674234096478","","","","","anonymous","EN","4","4","5","4","5","4","4","1","3","5","4","4","3","4","4","1","3","1","7","7","7","3","1","7","7","1","1","7","7","1","7","7","4","3","7","7","3","3","2","2","3","2","3","3","3","3","2","2","2","3","2","3","2","4","3","5","33","1","1",""
"2021-02-20 18:37:41","2021-02-20 18:50:36","0","IP-1.01877831286872","100","774","1","2021-02-20 18:50:36","ID0.976227164078801","","","","","anonymous","EN","4","4","4","4","3","1","4","5","4","7","7","4","4","4","7","4","1","4","5","7","6","7","1","5","1","3","4","4","4","4","4","4","4","4","4","4","","2","2","3","2","2","2","3","2","2","1","1","2","3","2","3","2","2","2","4","28","3","1",""
"2021-02-20 18:39:28","2021-02-20 18:54:16","0","IP-0.681954921819981","100","887","1","2021-02-20 18:54:16","ID-1.03089169366169","","","","","anonymous","EN","4","5","4","1","2","1","2","3","3","6","1","6","3","6","4","6","1","1","2","6","7","1","4","2","2","1","5","1","5","1","6","1","2","6","1","1","2","2","4","2","4","1","2","2","3","2","1","1","3","3","3","3","2","3","1","4","39","1","1",""
"2021-02-20 18:16:15","2021-02-20 19:04:28","0","IP-0.00799453285725288","100","2892","1","2021-02-20 19:04:28","ID-0.435855488391372","","","","","anonymous","EN","4","2","2","1","1","1","2","6","4","1","1","1","1","3","3","1","7","2","7","2","7","1","2","2","5","2","3","2","3","5","2","2","1","2","1","4","2","4","2","2","3","3","4","3","2","2","2","2","2","2","2","4","2","2","3","5","20","1","1",""
"2021-02-20 18:54:13","2021-02-20 19:07:00","0","IP-0.255219039886542","100","766","1","2021-02-20 19:07:01","ID-0.445274279158953","","","","","anonymous","EN","4","1","1","1","2","1","2","3","1","3","1","1","1","1","1","2","1","3","1","2","5","1","1","4","7","1","7","1","2","1","3","2","5","1","4","7","2","1","1","4","1","1","1","1","1","1","2","1","1","1","1","1","1","4","1","5","23","1","1","great survey!"
"2021-02-20 18:55:05","2021-02-20 19:07:08","0","IP1.62481713358502","100","722","1","2021-02-20 19:07:08","ID1.61975035452191","","","","","anonymous","EN","4","1","2","2","2","4","3","1","3","5","3","2","4","1","3","3","1","1","2","5","4","1","3","3","2","2","3","2","3","2","2","4","3","2","1","1","3","2","2","2","3","3","2","2","2","1","1","1","2","2","2","3","2","1","2","5","44","1","1",""
"2021-02-20 19:18:01","2021-02-20 19:29:35","0","IP-0.813581536877417","100","693","1","2021-02-20 19:29:35","ID-0.911820616193507","","","","","anonymous","EN","4","5","6","2","2","4","6","1","3","7","5","6","6","6","7","4","1","1","5","7","5","2","5","6","6","3","7","1","5","1","7","7","7","5","4","1","3","1","2","3","4","1","1","3","2","2","2","1","3","2","2","2","1","2","1","4","23","1","1",""
"2021-02-20 19:19:57","2021-02-20 19:32:36","0","IP-0.0974282404873423","100","758","1","2021-02-20 19:32:36","ID0.216878832007985","","","","","anonymous","EN","4","1","3","1","4","2","6","4","2","6","5","1","2","2","6","5","4","4","5","7","4","4","2","5","6","2","6","5","3","5","6","6","6","7","1","6","2","1","1","3","2","2","2","3","1","2","2","2","3","3","3","3","2","2","2","4","50","1","1",""
"2021-02-20 19:24:15","2021-02-20 19:40:20","0","IP1.00411326942381","100","965","1","2021-02-20 19:40:20","ID-1.64041760718544","","","","","anonymous","EN","4","2","1","3","6","1","5","3","1","5","3","4","5","1","5","4","1","2","2","1","4","2","3","2","2","2","2","2","2","1","2","2","2","6","4","1","2","2","3","2","3","2","2","3","2","2","2","2","3","2","3","3","2","2","2","5","61","1","1",""
"2021-02-20 19:40:19","2021-02-20 19:50:35","0","IP-0.743194212876949","100","616","1","2021-02-20 19:50:36","ID-1.2919807556052","","","","","anonymous","EN","4","1","1","2","2","1","2","1","2","3","1","1","3","1","2","3","2","1","6","2","2","1","2","2","1","2","6","1","1","2","3","2","2","2","3","7","2","2","2","3","2","2","2","3","4","1","1","2","3","3","2","3","2","2","2","5","28","1","1",""
"2021-02-20 19:46:23","2021-02-20 20:00:06","0","IP0.270206202169715","100","822","1","2021-02-20 20:00:07","ID-1.30472036407761","","","","","anonymous","EN","4","3","2","2","2","1","2","1","2","2","3","2","3","2","2","2","2","2","2","3","3","3","3","3","3","2","3","2","4","2","3","3","3","4","3","3","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","5","20","1","1",""
"2021-02-20 20:12:59","2021-02-20 20:27:45","0","IP-0.746168725518589","100","885","1","2021-02-20 20:27:45","ID0.0655691380745533","","","","","anonymous","EN","4","3","4","1","1","3","1","3","3","4","4","4","1","3","1","1","1","4","1","1","1","2","3","5","4","5","3","5","2","5","7","3","6","6","5","1","2","2","2","2","2","1","3","3","2","2","1","1","3","3","3","3","3","1","1","4","52","1","1",""
"2021-02-20 21:25:53","2021-02-20 21:40:15","0","IP-1.03684086746177","100","862","1","2021-02-20 21:40:16","ID0.760544838382516","","","","","anonymous","EN","4","1","1","1","1","1","1","1","1","1","1","1","1","4","3","1","1","1","3","3","3","1","4","1","4","1","2","3","2","1","3","2","4","2","1","1","2","2","2","1","3","3","1","2","2","2","2","1","3","3","2","3","1","2","2","4","48","1","1",""
"2021-02-20 21:46:16","2021-02-20 22:00:33","0","IP0.884633012459317","100","856","1","2021-02-20 22:00:34","ID0.171732567952119","","","","","anonymous","EN","4","1","3","2","1","1","1","4","4","3","5","6","3","3","5","5","1","2","4","5","3","5","6","7","7","2","1","4","7","3","7","7","6","7","7","1","2","1","1","3","2","1","1","3","2","3","1","2","3","3","1","2","1","2","1","4","47","1","1",""
"2021-02-20 21:53:20","2021-02-20 22:16:04","0","IP0.806822999738627","100","1364","1","2021-02-20 22:16:04","ID0.174316957336091","","","","","anonymous","EN","4","1","5","1","1","4","5","7","4","4","1","1","1","1","1","1","1","1","5","4","7","1","4","7","4","7","5","7","7","1","7","4","1","7","7","1","2","2","2","3","3","2","2","3","2","2","2","3","3","3","2","3","2","3","2","5","23","1","1",""
"2021-02-20 22:10:12","2021-02-20 22:20:47","0","IP-2.25783170675759","100","634","1","2021-02-20 22:20:47","ID0.0134783487332674","","","","","anonymous","EN","4","1","1","2","4","1","3","1","1","1","2","1","1","1","2","1","1","1","3","2","3","3","2","1","7","1","2","1","3","2","1","5","6","5","3","1","1","2","3","2","3","2","3","2","3","1","1","1","3","2","3","3","1","2","1","5","38","1","1",""
"2021-02-20 22:07:13","2021-02-20 22:21:31","0","IP-0.118407917106194","100","857","1","2021-02-20 22:21:31","ID1.34738403863604","","","","","anonymous","EN","4","5","7","1","1","7","4","2","6","7","5","4","6","5","4","7","1","5","4","5","6","5","4","4","5","5","2","4","2","2","7","2","2","6","3","1","2","1","2","3","2","1","2","4","2","4","1","2","3","3","1","3","2","2","2","5","28","1","1",""
"2021-02-20 23:07:09","2021-02-20 23:24:44","0","IP-1.11394620183909","100","1055","1","2021-02-20 23:24:45","ID-1.03382808451324","","","","","anonymous","EN","4","1","3","1","1","2","1","1","1","2","1","2","1","2","2","3","1","1","1","3","2","1","1","2","1","1","5","1","1","5","4","4","2","2","2","1","2","1","3","3","3","1","1","4","1","2","1","1","4","2","3","4","1","2","1","5","21","1","1",""
"2021-02-20 23:21:42","2021-02-20 23:35:29","0","IP0.74037347978469","100","826","1","2021-02-20 23:35:29","ID-1.88054255891601","","","","","anonymous","EN","4","1","3","1","3","2","1","3","3","4","1","1","1","1","1","6","3","3","5","4","5","4","1","1","2","3","1","4","3","4","7","1","7","6","7","1","2","2","2","4","2","1","2","4","3","4","1","2","4","3","1","1","1","3","2","4","29","1","1",""
"2021-02-20 23:30:13","2021-02-20 23:44:14","0","IP-1.24469614131572","100","841","1","2021-02-20 23:44:15","ID-1.20098949306893","","","","","anonymous","EN","4","1","1","1","2","2","1","1","1","1","1","1","2","1","3","4","3","2","1","1","5","1","1","2","5","1","4","1","1","1","4","5","4","4","1","1","2","4","4","2","4","4","3","1","3","1","4","1","4","1","4","4","4","1","3","5","60","1","1",""
"2021-02-20 23:38:05","2021-02-21 00:05:44","0","IP0.487708202218629","100","1658","1","2021-02-21 00:05:44","ID-0.221947293920305","","","","","anonymous","EN","4","4","1","2","4","1","6","1","4","3","4","6","1","6","6","1","1","6","1","6","4","6","6","7","1","1","7","1","6","1","1","7","7","7","4","1","2","4","4","2","4","3","4","1","2","4","1","1","3","2","1","3","3","2","4","4","31","1","1",""
"2021-02-20 23:56:26","2021-02-21 00:08:35","0","IP-0.52287214855174","100","729","1","2021-02-21 00:08:35","ID-0.237115894017683","","","","","anonymous","EN","4","1","2","1","1","5","1","4","2","4","2","2","5","4","3","3","1","1","5","2","5","2","1","2","4","2","7","4","2","4","2","1","5","4","5","1","2","1","2","3","3","1","1","3","3","2","1","2","3","3","2","3","1","3","2","5","47","1","1",""
